epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9875,1.03578,2.86675,1.21743,0.00684,0.98734,0.37346,0.29371,0.60555,2.70432,0.88855,0.00016,0.00016,0.00016
2,107.967,0.78784,2.22447,1.04509,0.00684,0.98734,0.71901,0.56157,0.63259,2.5002,0.88165,0.000336634,0.000336634,0.000336634
3,159.809,0.79876,1.60716,1.00332,0.9376,0.67089,0.74232,0.58061,0.70281,2.43669,0.89879,0.000509704,0.000509704,0.000509704
4,212.446,0.81168,1.22227,1.02008,1,0.3018,0.6111,0.48195,0.898,2.5446,1.09441,0.00067921,0.00067921,0.00067921
5,264.266,0.74431,1.15658,1.01054,0.48809,0.27848,0.31725,0.22369,1.13036,2.62137,1.23055,0.000845152,0.000845152,0.000845152
6,315.726,0.80601,1.129,1.0246,0.86036,0.40506,0.53832,0.36417,1.11087,2.46006,1.14249,0.00100753,0.00100753,0.00100753
7,367.71,0.67719,3.0575,0.89947,0.97403,0.47485,0.74076,0.50665,1.04476,2.34299,1.18228,0.00116634,0.00116634,0.00116634
8,421.367,0.80603,1.06327,1.04434,0.9388,0.67089,0.82138,0.64098,0.79417,1.80701,1.06296,0.00132159,0.00132159,0.00132159
9,469.801,0.76195,0.96601,0.99833,0.8301,0.65823,0.78395,0.56099,0.95619,1.82562,1.07967,0.00147328,0.00147328,0.00147328
10,517.43,0.89464,1.07862,1.09348,0.83997,0.75949,0.8226,0.63899,0.77944,1.46963,0.99803,0.0016214,0.0016214,0.0016214
11,567.176,0.60448,2.2189,0.85765,0.93824,0.7692,0.91275,0.72039,0.7139,1.31689,0.92243,0.00176596,0.00176596,0.00176596
12,617.531,0.76788,1.03319,1.01308,0.81757,0.68079,0.75012,0.60057,0.76071,1.76669,1.0206,0.0017822,0.0017822,0.0017822
13,668.866,0.79709,1.01666,1.01109,0.83096,0.62025,0.74979,0.59654,0.78623,1.61669,1.02116,0.0017624,0.0017624,0.0017624
14,748.341,0.70464,0.93791,0.9774,0.89726,0.81013,0.91024,0.72724,0.69046,1.16366,0.92082,0.0017426,0.0017426,0.0017426
15,958.221,0.6668,0.86363,0.96901,0.97329,0.87342,0.95714,0.79,0.61822,0.96638,0.90365,0.0017228,0.0017228,0.0017228
16,1006.39,0.7179,0.86751,0.97305,0.94739,0.91181,0.95096,0.77387,0.63496,0.92738,0.90607,0.001703,0.001703,0.001703
17,1053.86,0.64966,0.74915,0.96911,0.94762,0.91597,0.95461,0.78428,0.6241,1.05993,0.88828,0.0016832,0.0016832,0.0016832
18,1101.47,0.67588,0.76797,0.94613,0.9603,0.91849,0.95659,0.82143,0.57871,0.99274,0.87604,0.0016634,0.0016634,0.0016634
19,1149.53,0.66877,0.73349,0.94666,0.89994,0.91083,0.93512,0.81027,0.62064,0.88512,0.89463,0.0016436,0.0016436,0.0016436
20,1199.1,0.68004,0.76083,0.96833,0.91567,0.91139,0.96031,0.80483,0.66228,1.01379,0.90657,0.0016238,0.0016238,0.0016238
21,1249.42,0.64355,0.79094,0.94636,0.91995,0.92405,0.93951,0.77735,0.6594,1.05204,0.91337,0.001604,0.001604,0.001604
22,1300.71,0.65952,0.72261,0.96259,0.88925,0.91472,0.94329,0.76701,0.65776,1.03327,0.91057,0.0015842,0.0015842,0.0015842
23,1351.45,0.7374,0.79669,0.99509,0.95747,0.93671,0.96449,0.77822,0.6398,0.93529,0.93932,0.0015644,0.0015644,0.0015644
24,1402.78,0.6792,0.73638,0.9655,0.89191,0.89873,0.91539,0.69889,0.67144,1.26298,0.95411,0.0015446,0.0015446,0.0015446
25,1453.06,0.6925,0.81949,0.96704,0.93708,0.94937,0.94914,0.78398,0.55357,0.83274,0.87045,0.0015248,0.0015248,0.0015248
26,1502.61,0.75909,0.76029,1.04009,0.95962,0.93671,0.95817,0.79514,0.53211,0.67984,0.85164,0.001505,0.001505,0.001505
27,1563.59,0.66306,0.64985,0.96706,0.94904,0.94937,0.95986,0.81371,0.59382,0.66886,0.85835,0.0014852,0.0014852,0.0014852
28,1613.89,0.59837,0.61853,0.94789,0.9863,0.91124,0.96347,0.79223,0.58483,0.69944,0.88605,0.0014654,0.0014654,0.0014654
29,1664.01,0.67524,0.70827,0.99169,0.95756,0.89873,0.96852,0.83265,0.52363,0.65634,0.85746,0.0014456,0.0014456,0.0014456
30,1714.06,0.62126,0.6331,0.93423,0.95758,0.8573,0.94772,0.79054,0.55581,0.68846,0.87329,0.0014258,0.0014258,0.0014258
31,1764.16,0.5336,2.64132,0.83387,0.92014,0.92405,0.96248,0.76798,0.58444,0.65257,0.9073,0.001406,0.001406,0.001406
32,1813.73,0.60223,0.60903,0.93924,0.89843,0.82278,0.90067,0.75318,0.60183,0.85588,0.89615,0.0013862,0.0013862,0.0013862
33,1864.7,0.64468,0.65118,0.95208,0.91893,0.88608,0.93699,0.79964,0.59428,0.72716,0.91521,0.0013664,0.0013664,0.0013664
34,1915.07,0.58769,0.57692,0.93279,0.96107,0.94937,0.97229,0.8161,0.55063,0.59276,0.88005,0.0013466,0.0013466,0.0013466
35,1966.25,0.52131,2.71767,0.83768,0.96173,0.95431,0.97409,0.84514,0.47961,0.56973,0.84828,0.0013268,0.0013268,0.0013268
36,2017.73,0.72421,0.61936,1.05288,0.95471,0.93671,0.96096,0.82746,0.57821,0.70238,0.88759,0.001307,0.001307,0.001307
37,2072.76,0.58734,0.71474,0.92732,0.97426,0.87342,0.94333,0.77972,0.59229,0.75412,0.90464,0.0012872,0.0012872,0.0012872
38,2131.14,0.5487,0.60548,0.89564,0.89329,0.84776,0.90467,0.72649,0.69144,0.76719,0.9639,0.0012674,0.0012674,0.0012674
39,2195.67,0.58586,0.53838,0.92916,0.94735,0.91097,0.93111,0.78412,0.61423,0.69203,0.92182,0.0012476,0.0012476,0.0012476
40,2285.42,0.58827,0.55504,0.94177,0.93668,0.93621,0.95809,0.78469,0.60153,0.60888,0.92089,0.0012278,0.0012278,0.0012278
41,3194.31,0.54692,0.5551,0.92466,0.94113,0.93671,0.96902,0.81453,0.57912,0.57868,0.90978,0.001208,0.001208,0.001208
42,3242.26,0.51394,0.52592,0.9213,0.94878,0.96203,0.96554,0.83363,0.51795,0.59783,0.88497,0.0011882,0.0011882,0.0011882
43,3289.95,0.54219,0.5015,0.92092,0.97339,0.92624,0.97028,0.8564,0.50144,0.55151,0.86451,0.0011684,0.0011684,0.0011684
44,3338.01,0.5223,0.48768,0.88077,0.97608,0.92405,0.97138,0.84507,0.47469,0.51027,0.84108,0.0011486,0.0011486,0.0011486
45,3386.34,0.52687,0.52408,0.9339,0.94387,0.94937,0.97189,0.84885,0.43541,0.50252,0.84497,0.0011288,0.0011288,0.0011288
46,3435.61,0.62151,0.50512,0.99133,0.96193,0.95943,0.98006,0.83277,0.51141,0.5148,0.86505,0.001109,0.001109,0.001109
47,3486.26,0.54228,0.48332,0.91676,0.97312,0.96203,0.96901,0.84215,0.49048,0.51858,0.85483,0.0010892,0.0010892,0.0010892
48,3536.92,0.47563,0.46879,0.89679,0.95957,0.96203,0.97353,0.86109,0.47784,0.51211,0.84737,0.0010694,0.0010694,0.0010694
49,3586.95,0.46451,0.50235,0.8917,0.97076,0.94937,0.9724,0.87283,0.44457,0.4676,0.84921,0.0010496,0.0010496,0.0010496
50,3637.57,0.48837,0.4792,0.88896,0.9498,0.95803,0.97182,0.87674,0.44517,0.44985,0.85118,0.0010298,0.0010298,0.0010298
51,3688.22,0.50031,0.46898,0.89284,0.97271,0.93671,0.97237,0.86562,0.46812,0.45131,0.8478,0.00101,0.00101,0.00101
52,3738.18,0.48616,0.45109,0.88315,0.97372,0.93786,0.96866,0.8655,0.44461,0.46332,0.82253,0.0009902,0.0009902,0.0009902
53,3787.81,0.47429,0.50289,0.8926,0.97364,0.93523,0.97232,0.83584,0.47662,0.46999,0.83605,0.0009704,0.0009704,0.0009704
54,3838.98,0.47363,0.43601,0.87964,0.94791,0.97468,0.97998,0.86364,0.45046,0.43087,0.84082,0.0009506,0.0009506,0.0009506
55,3890.57,0.47375,0.44456,0.90156,0.9389,0.97468,0.97826,0.88484,0.43733,0.42291,0.83509,0.0009308,0.0009308,0.0009308
56,3940.72,0.43882,0.4181,0.88793,0.97126,0.96203,0.98251,0.88935,0.42144,0.39183,0.82791,0.000911,0.000911,0.000911
57,3993.54,0.45666,0.47687,0.92547,0.96491,0.96203,0.97901,0.8908,0.41943,0.38761,0.8366,0.0008912,0.0008912,0.0008912
58,4043.88,0.46982,0.43049,0.90674,0.95035,0.97468,0.97834,0.88426,0.40566,0.41308,0.83335,0.0008714,0.0008714,0.0008714
59,4094.2,0.45991,0.46653,0.89577,0.93893,0.97304,0.97655,0.8664,0.47999,0.45095,0.87192,0.0008516,0.0008516,0.0008516
60,4174.05,0.49988,0.46912,0.89963,0.95968,0.96203,0.97941,0.86609,0.4424,0.44027,0.84147,0.0008318,0.0008318,0.0008318
61,4542.52,0.46469,0.43521,0.88404,0.92757,0.97266,0.97583,0.86781,0.42383,0.42481,0.8323,0.000812,0.000812,0.000812
62,4591.85,0.44752,0.41273,0.87682,0.98505,0.94937,0.981,0.87776,0.43008,0.41343,0.82743,0.0007922,0.0007922,0.0007922
63,4640.69,0.4167,0.43437,0.875,0.95644,0.96203,0.98028,0.8914,0.39177,0.37158,0.82108,0.0007724,0.0007724,0.0007724
64,4689.61,0.42831,0.40213,0.88953,0.93643,0.97468,0.98118,0.88086,0.39585,0.37781,0.83003,0.0007526,0.0007526,0.0007526
65,4738.44,0.43862,0.39151,0.87501,0.92669,0.97468,0.9789,0.88363,0.42759,0.39435,0.83089,0.0007328,0.0007328,0.0007328
66,4787.05,0.44417,0.39747,0.87698,0.9676,0.97468,0.98084,0.87539,0.43267,0.39178,0.83589,0.000713,0.000713,0.000713
67,4837.81,0.45941,0.40519,0.90811,0.97058,0.97468,0.98118,0.87501,0.44443,0.37666,0.83383,0.0006932,0.0006932,0.0006932
68,4889.07,0.47783,0.40734,0.88535,0.95975,0.97468,0.97741,0.87819,0.38956,0.35571,0.82239,0.0006734,0.0006734,0.0006734
69,4940.31,0.42734,0.38966,0.86545,0.95937,0.97468,0.97774,0.87862,0.4097,0.354,0.82745,0.0006536,0.0006536,0.0006536
70,4991.72,0.42737,0.38423,0.87554,0.97399,0.97468,0.98315,0.88729,0.44777,0.36738,0.83372,0.0006338,0.0006338,0.0006338
71,5042.8,0.43541,0.41242,0.88001,0.98245,0.96203,0.98377,0.89489,0.41502,0.3606,0.83385,0.000614,0.000614,0.000614
72,5094.36,0.38776,0.35709,0.86969,0.9606,0.97468,0.98294,0.89362,0.44163,0.36283,0.83421,0.0005942,0.0005942,0.0005942
73,5175.77,0.40138,0.36118,0.86873,0.97843,0.96203,0.98362,0.90758,0.39244,0.35905,0.82986,0.0005744,0.0005744,0.0005744
74,5469.62,0.41942,0.42911,0.89026,0.96365,0.94937,0.98249,0.89298,0.37085,0.34515,0.83189,0.0005546,0.0005546,0.0005546
75,5542.72,0.41103,0.37278,0.87944,0.99743,0.93671,0.98158,0.90064,0.35968,0.33431,0.82587,0.0005348,0.0005348,0.0005348
76,5590.43,0.43617,0.4188,0.89447,0.96022,0.94937,0.98011,0.90304,0.36687,0.3566,0.8269,0.000515,0.000515,0.000515
77,5637.75,0.42008,0.37112,0.86417,0.97246,0.94937,0.98103,0.8993,0.38852,0.3578,0.83095,0.0004952,0.0004952,0.0004952
78,5685.01,0.45929,0.3704,0.91204,0.96784,0.96203,0.98192,0.89169,0.39864,0.35559,0.83368,0.0004754,0.0004754,0.0004754
79,5733.07,0.41292,0.36922,0.86544,0.97576,0.96203,0.98313,0.90012,0.40264,0.33122,0.83747,0.0004556,0.0004556,0.0004556
80,5782.42,0.39334,0.34107,0.84965,0.982,0.96203,0.98348,0.89607,0.39336,0.32316,0.83745,0.0004358,0.0004358,0.0004358
81,5831.82,0.39393,0.36153,0.85904,0.98342,0.96203,0.98361,0.89015,0.39158,0.33637,0.83669,0.000416,0.000416,0.000416
82,5882.6,0.44015,0.3806,0.8766,0.9771,0.94937,0.98335,0.90161,0.39297,0.34488,0.83792,0.0003962,0.0003962,0.0003962
83,5931.37,0.38432,0.35164,0.86817,0.98679,0.94542,0.9829,0.90272,0.38775,0.34437,0.83424,0.0003764,0.0003764,0.0003764
84,5980.71,0.40125,0.35105,0.85837,0.95059,0.97404,0.98277,0.89957,0.39445,0.32968,0.83172,0.0003566,0.0003566,0.0003566
85,6030.41,0.34349,0.32595,0.86311,0.96246,0.97359,0.98313,0.90693,0.38035,0.32299,0.82223,0.0003368,0.0003368,0.0003368
86,6080.07,0.42731,0.40922,0.87276,0.96249,0.9744,0.98271,0.9091,0.38499,0.33069,0.81872,0.000317,0.000317,0.000317
87,6128.69,0.37325,0.33689,0.85908,0.94987,0.97468,0.98183,0.91572,0.36072,0.3159,0.81584,0.0002972,0.0002972,0.0002972
88,6178.74,0.34393,0.64838,0.76339,0.9423,0.98734,0.98286,0.90897,0.38455,0.30466,0.81654,0.0002774,0.0002774,0.0002774
89,6228.49,0.37106,0.33517,0.86663,0.96244,0.97308,0.9836,0.90861,0.3863,0.3039,0.81815,0.0002576,0.0002576,0.0002576
90,6278.19,0.32713,0.31249,0.8467,0.96292,0.98615,0.98399,0.92285,0.3509,0.29525,0.81317,0.0002378,0.0002378,0.0002378
91,6328.6,0.36236,0.38738,0.84262,0.97495,0.98523,0.98433,0.92305,0.34351,0.30361,0.81231,0.000218,0.000218,0.000218
92,6379.11,0.37954,0.36444,0.89281,0.98281,0.97468,0.98443,0.91844,0.37303,0.33031,0.81872,0.0001982,0.0001982,0.0001982
93,6432.64,0.38706,0.33364,0.87206,0.98716,0.97307,0.98455,0.91082,0.3963,0.35355,0.8267,0.0001784,0.0001784,0.0001784
94,6487.41,0.34988,0.33631,0.82799,0.98699,0.96029,0.98361,0.90761,0.38888,0.35816,0.82051,0.0001586,0.0001586,0.0001586
95,6541.73,0.29536,0.38193,0.74498,0.98641,0.96203,0.9836,0.90947,0.35936,0.35189,0.81124,0.0001388,0.0001388,0.0001388
96,6598.42,0.27079,0.38132,0.72293,0.97461,0.97191,0.98357,0.90843,0.34228,0.3402,0.81224,0.000119,0.000119,0.000119
97,6650.08,0.32895,0.2998,0.84991,0.98683,0.94853,0.98341,0.90831,0.34369,0.32736,0.81437,9.92e-05,9.92e-05,9.92e-05
98,6703.21,0.32205,0.31698,0.81019,0.98699,0.96023,0.9839,0.91094,0.34532,0.32532,0.81537,7.94e-05,7.94e-05,7.94e-05
99,6785.11,0.30694,0.32094,0.81033,0.9743,0.95967,0.98328,0.91499,0.34306,0.32465,0.8159,5.96e-05,5.96e-05,5.96e-05
100,7207.8,0.3006,0.29751,0.81703,0.97431,0.96017,0.98304,0.91665,0.33842,0.31874,0.81673,3.98e-05,3.98e-05,3.98e-05
